year,county_name,yield_bu_per_acre
2023,JASPER,218.0
2023,JEFFERSON,195.1
2023,JOHNSON,203.1
2023,JONES,190.7
2023,KEOKUK,211.6
2023,LEE,203.7
2023,LINN,179.5
2023,LUCAS,173.9
2023,LYON,200.2
2023,MADISON,202.0
2023,MAHASKA,214.9
2023,MARION,203.7
2023,MARSHALL,216.3
2023,MILLS,204.3
2023,MITCHELL,171.8
2023,MONONA,165.4
2023,MONROE,181.1
2023,MONTGOMERY,206.2
2023,MUSCATINE,211.9
2023,O BRIEN,212.7
2023,OSCEOLA,203.7
2023,OTHER COUNTIES,198.9
2023,PAGE,206.6
2023,PALO ALTO,211.7
2023,PLYMOUTH,205.7
2023,POCAHONTAS,218.1
2023,POLK,206.4
2023,POTTAWATTAMIE,198.5
2023,POWESHIEK,204.9
2023,SAC,199.1
2023,SCOTT,210.1
2023,SHELBY,196.0
2023,SIOUX,211.4
2023,STORY,211.4
2023,TAMA,197.4
2023,TAYLOR,192.9
2023,UNION,217.0
2023,VAN BUREN,189.3
2023,WAPELLO,202.9
2023,WARREN,199.2
2023,WASHINGTON,188.3
2023,WEBSTER,212.8
2023,WINNEBAGO,211.3
2023,WINNESHIEK,195.3
2023,WOODBURY,168.3
2023,WORTH,187.6
2023,WRIGHT,202.5
2024,ADAIR,211.2
2024,ALLAMAKEE,216.3
2024,AUDUBON,224.2
2024,BENTON,238.6
2024,BLACK HAWK,205.9
2024,BOONE,217.6
2024,BREMER,205.9
2024,BUCHANAN,220.8
2024,BUTLER,209.8
2024,CALHOUN,228.8
2024,CARROLL,240.9
2024,CASS,217.0
2024,CEDAR,236.2
2024,CERRO GORDO,199.7
2024,CHEROKEE,207.1
2024,CHICKASAW,206.5
2024,CLARKE,183.9
2024,CLAY,176.1
2024,CLAYTON,220.2
2024,CLINTON,235.9
2024,CRAWFORD,214.2
2024,DAVIS,194.9
2024,DECATUR,172.2
2024,DELAWARE,219.5
2024,DES MOINES,221.8
2024,DICKINSON,160.8
2024,DUBUQUE,221.7
2024,FAYETTE,201.2
2024,FLOYD,210.1
2024,FRANKLIN,204.9
2024,FREMONT,231.0
2024,GREENE,223.1
2024,HAMILTON,212.3
2024,HANCOCK,203.1
2024,HENRY,213.7
2024,HOWARD,212.5
2024,HUMBOLDT,205.7
2024,IDA,221.5
2024,IOWA,219.2
2024,JACKSON,227.5
2024,JEFFERSON,203.7
2024,JOHNSON,223.1
2024,JONES,233.3
2024,LEE,223.3
2024,LINN,230.1
2024,LOUISA,214.5
2024,LYON,198.8
2024,MAHASKA,222.9
2024,MARION,218.1
2024,MARSHALL,222.2
2024,MILLS,210.9
2024,MITCHELL,212.8
2024,MONONA,192.0
2024,MONROE,191.7
2024,MONTGOMERY,215.8
2024,MUSCATINE,220.4
2024,O BRIEN,199.0
2024,OTHER COUNTIES,205.7
2024,PAGE,209.1
2024,PALO ALTO,182.3
2024,PLYMOUTH,195.6
2024,POCAHONTAS,203.0
2024,POLK,218.0
2024,POWESHIEK,223.0
2024,SAC,229.1
2024,SCOTT,234.2
2024,STORY,215.5
2024,TAYLOR,192.7
2024,WAYNE,194.8
2024,WEBSTER,211.6
2024,WINNEBAGO,182.6
2024,WINNESHIEK,212.1
2024,WOODBURY,206.4
2024,WORTH,198.6
2025,ADAIR,187.0
2025,ALLAMAKEE,211.1
2025,AUDUBON,224.7
2025,BLACK HAWK,207.2
2025,BOONE,209.9
2025,BREMER,213.1
2025,BUCHANAN,208.9
2025,BUENA VISTA,210.0
2025,BUTLER,210.8
2025,CALHOUN,214.6
2025,CASS,188.4
2025,CEDAR,215.0
2025,CERRO GORDO,196.3
2025,CHEROKEE,225.4
2025,CHICKASAW,219.6
2025,CLAY,212.1
2025,CLAYTON,224.0
2025,CLINTON,220.9
2025,CRAWFORD,224.9
2025,DALLAS,213.3
2025,DAVIS,192.3
2025,DECATUR,182.9
2025,DELAWARE,224.1
2025,DES MOINES,221.1
2025,DICKINSON,220.2
2025,DUBUQUE,217.3
2025,EMMET,227.1
2025,FLOYD,219.1
2025,FRANKLIN,208.5
2025,FREMONT,195.8
2025,GREENE,213.3
2025,GRUNDY,215.9
2025,HAMILTON,212.7
2025,HANCOCK,196.3
2025,HARDIN,208.7
2025,HARRISON,186.2
2025,HENRY,209.6
2025,HOWARD,233.8
2025,HUMBOLDT,202.5
2025,IDA,232.4
2025,IOWA,220.3
2025,JACKSON,213.2
2025,JEFFERSON,199.4
2025,JOHNSON,209.7
2025,JONES,215.1
2025,KEOKUK,209.2
2025,KOSSUTH,204.6
2025,LEE,198.0
2025,LINN,216.2
2025,LUCAS,183.4
2025,MADISON,192.6
2025,MAHASKA,218.5
2025,MARION,209.6
2025,MILLS,190.4
2025,MITCHELL,215.4
2025,MONONA,203.1
2025,MONROE,186.4
2025,MONTGOMERY,197.6
2025,MUSCATINE,207.1
2025,O BRIEN,220.1
2025,OSCEOLA,230.1
2025,OTHER COUNTIES,207.8
2025,PALO ALTO,209.9
2025,POCAHONTAS,210.2
2025,POLK,203.6
2025,POWESHIEK,217.2
2025,SAC,224.3
2025,SCOTT,224.5
2025,STORY,204.0
2025,TAYLOR,176.6
2025,UNION,193.1
2025,WAPELLO,203.6
2025,WARREN,194.3
2025,WASHINGTON,218.6
2025,WEBSTER,211.9
2025,WINNEBAGO,205.4
2025,WINNESHIEK,215.1
2025,WOODBURY,213.7
2025,WORTH,201.1
2025,WRIGHT,190.2
